,batch_tom,Run,Regular average,Regular times,Time steps,ToM average,ToM times,configuration,save_plots,batch_run,batch_panic,width,height,N
0,0,0,25.45,"[14, 15, 15, 17, 17, 17, 19, 19, 21, 21, 23, 25, 27, 29, 31, 34, 38, 41, 42, 44]",45,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
1,0,1,23.35,"[14, 15, 15, 16, 17, 17, 18, 19, 19, 20, 21, 22, 23, 24, 28, 31, 34, 36, 38, 40]",41,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
2,0,2,23.4,"[14, 14, 14, 16, 16, 16, 18, 18, 18, 20, 20, 22, 24, 28, 29, 31, 33, 37, 39, 41]",42,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
3,0,3,22.9,"[14, 14, 15, 16, 17, 17, 18, 19, 19, 20, 21, 21, 22, 23, 24, 30, 34, 37, 37, 40]",41,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
4,0,4,23.45,"[14, 14, 14, 16, 16, 18, 18, 19, 20, 20, 22, 23, 24, 25, 27, 30, 33, 36, 39, 41]",42,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
5,1,5,20.583333333333332,"[13, 14, 15, 15, 16, 17, 18, 20, 22, 29, 33, 35]",120,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
6,1,6,23.05263157894737,"[14, 14, 15, 16, 16, 17, 18, 18, 19, 20, 21, 22, 23, 24, 30, 34, 37, 39, 41]",42,20.0,[20],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
7,1,7,26.05263157894737,"[14, 15, 17, 17, 17, 19, 19, 20, 21, 21, 23, 29, 29, 31, 33, 40, 41, 43, 46]",47,38.0,[38],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
8,1,8,22.105263157894736,"[14, 14, 16, 16, 17, 18, 18, 19, 20, 20, 21, 22, 23, 24, 25, 29, 32, 35, 37]",38,14.0,[14],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
9,1,9,23.157894736842106,"[14, 14, 15, 16, 17, 18, 18, 19, 20, 21, 22, 23, 25, 27, 29, 30, 33, 36, 43]",44,16.0,[16],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x0318E6A0>, <src.model.entities.Exit.Exit object at 0x0318E4D8>, <src.model.entities.Exit.Exit object at 0x0343B2F8>, <src.model.entities.Exit.Exit object at 0x1134F6D0>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1134F7C0>}",False,True,"[3, 4]",500,500,20
