,batch_tom,Run,Regular average,Regular times,Time steps,ToM average,ToM times,configuration,save_plots,batch_run,batch_panic,width,height,N
0,0,0,26.466666666666665,"[4, 5, 7, 7, 7, 8, 9, 10, 11, 13, 13, 14, 14, 16, 16, 16, 16, 17, 17, 18, 19, 20, 20, 20, 21, 22, 22, 22, 23, 24, 24, 24, 26, 26, 26, 28, 29, 30, 31, 33, 33, 36, 36, 37, 38, 38, 40, 40, 42, 42, 44, 44, 45, 46, 47, 48, 49, 50, 51, 54]",55,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
1,0,1,32.43333333333333,"[3, 3, 5, 6, 7, 8, 9, 10, 10, 11, 12, 13, 13, 15, 16, 17, 19, 19, 20, 21, 22, 22, 24, 25, 25, 29, 31, 31, 34, 35, 36, 38, 39, 39, 40, 41, 41, 42, 42, 44, 45, 45, 45, 47, 47, 47, 48, 49, 49, 51, 51, 51, 52, 53, 55, 56, 57, 58, 59, 64]",65,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
2,0,2,29.083333333333332,"[3, 5, 6, 6, 6, 12, 13, 13, 15, 15, 15, 16, 16, 16, 17, 18, 18, 18, 18, 19, 19, 20, 20, 22, 22, 23, 24, 24, 26, 26, 26, 28, 29, 30, 31, 33, 33, 35, 35, 37, 37, 39, 39, 41, 41, 42, 43, 44, 45, 46, 47, 48, 48, 50, 51, 52, 53, 55, 57, 59]",60,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
3,0,3,27.316666666666666,"[3, 4, 4, 7, 7, 9, 10, 11, 11, 11, 11, 12, 13, 13, 13, 15, 15, 15, 15, 16, 17, 18, 18, 18, 19, 20, 20, 21, 22, 22, 23, 25, 26, 26, 28, 29, 30, 34, 34, 36, 36, 38, 39, 40, 41, 42, 43, 43, 45, 46, 46, 47, 49, 51, 52, 53, 53, 55, 58, 61]",62,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
4,0,4,25.70689655172414,"[4, 5, 6, 6, 6, 6, 7, 7, 7, 8, 8, 9, 10, 10, 11, 12, 12, 13, 14, 14, 15, 15, 16, 16, 18, 18, 20, 20, 21, 21, 22, 22, 23, 23, 23, 24, 26, 27, 29, 35, 35, 37, 39, 41, 43, 44, 45, 46, 47, 49, 50, 51, 53, 55, 58, 60, 62, 67]",120,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
5,1,5,26.152542372881356,"[2, 3, 6, 6, 6, 7, 8, 9, 9, 9, 10, 12, 12, 13, 13, 13, 15, 15, 15, 16, 17, 17, 18, 18, 18, 19, 19, 20, 21, 22, 22, 23, 25, 27, 27, 27, 29, 29, 31, 33, 33, 35, 37, 39, 41, 43, 45, 45, 47, 47, 48, 49, 50, 51, 51, 53, 53, 55, 60]",61,4.0,[4],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
6,1,6,24.610169491525422,"[2, 3, 6, 6, 7, 8, 9, 11, 11, 12, 13, 13, 13, 14, 15, 15, 16, 17, 17, 17, 17, 18, 19, 19, 20, 20, 21, 22, 22, 22, 22, 23, 24, 24, 26, 26, 27, 28, 29, 30, 31, 32, 34, 34, 35, 36, 36, 37, 38, 38, 40, 42, 43, 44, 46, 48, 48, 51, 55]",56,53.0,[53],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
7,1,7,27.64406779661017,"[3, 5, 6, 6, 7, 8, 9, 10, 10, 11, 11, 12, 14, 15, 16, 16, 16, 18, 18, 19, 19, 19, 19, 20, 20, 21, 23, 23, 24, 26, 27, 28, 30, 31, 32, 34, 36, 36, 38, 38, 38, 40, 40, 40, 41, 42, 43, 43, 44, 45, 46, 46, 47, 48, 48, 50, 51, 52, 53]",54,8.0,[8],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
8,1,8,26.220338983050848,"[6, 6, 8, 8, 8, 10, 11, 11, 12, 12, 13, 14, 14, 14, 15, 16, 17, 17, 17, 19, 19, 20, 20, 21, 22, 22, 23, 24, 24, 24, 25, 25, 26, 26, 27, 28, 28, 29, 30, 30, 32, 32, 34, 36, 36, 38, 38, 40, 40, 42, 44, 45, 46, 47, 48, 49, 50, 53, 56]",57,16.0,[16],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
9,1,9,26.576271186440678,"[4, 4, 5, 5, 6, 6, 7, 8, 8, 8, 9, 10, 10, 10, 11, 12, 12, 12, 13, 14, 15, 15, 15, 16, 17, 19, 21, 22, 22, 23, 25, 25, 27, 27, 29, 31, 33, 34, 35, 36, 37, 41, 41, 43, 43, 45, 45, 45, 46, 47, 47, 47, 49, 49, 51, 52, 57, 60, 62]",63,59.0,[59],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
10,2,10,29.82758620689655,"[0, 3, 3, 5, 5, 7, 9, 9, 10, 10, 12, 12, 14, 15, 15, 15, 16, 16, 17, 17, 19, 19, 19, 20, 21, 23, 24, 24, 24, 26, 26, 28, 30, 32, 33, 36, 38, 38, 40, 40, 42, 43, 43, 44, 45, 46, 47, 48, 49, 50, 54, 57, 59, 62, 64, 67, 69, 71]",72,33.5,"[18, 49]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
11,2,11,25.17241379310345,"[3, 4, 5, 5, 7, 7, 8, 8, 8, 8, 9, 9, 10, 11, 11, 12, 13, 14, 15, 17, 17, 17, 17, 17, 18, 19, 19, 20, 22, 22, 23, 23, 24, 25, 26, 26, 28, 32, 32, 34, 34, 36, 37, 37, 38, 40, 42, 42, 44, 46, 46, 46, 48, 51, 53, 55, 59, 61]",62,25.5,"[21, 30]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
12,2,12,26.17241379310345,"[2, 4, 4, 7, 7, 7, 8, 10, 10, 11, 12, 13, 13, 14, 14, 15, 15, 16, 16, 17, 18, 18, 18, 19, 20, 20, 20, 20, 22, 22, 23, 24, 24, 25, 27, 28, 29, 34, 36, 36, 38, 39, 39, 40, 41, 42, 43, 44, 44, 46, 46, 48, 48, 50, 50, 52, 54, 56]",57,13.0,"[5, 21]","{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1243B358>, <src.model.entities.Obstacle.Obstacle object at 0x1243B388>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1243B418>, <src.model.entities.Obstacle.Obstacle object at 0x1243B448>, <src.model.entities.Obstacle.Obstacle object at 0x1243B478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1243B4A8>, <src.model.entities.Exit.Exit object at 0x1243B4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1243B508>}",False,True,"[0, 0]",1000,500,60
