,batch_tom,Run,Regular average,Regular times,Time steps,ToM average,ToM times,configuration,save_plots,batch_run,batch_panic,width,height,N
0,0,0,32.95,"[13, 17, 19, 21, 23, 25, 27, 28, 29, 31, 31, 33, 37, 39, 42, 44, 47, 49, 51, 53]",54,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
1,0,1,33.15,"[16, 18, 20, 22, 24, 27, 30, 31, 32, 34, 35, 35, 37, 38, 40, 40, 43, 45, 47, 49]",50,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
2,0,2,31.31578947368421,"[18, 20, 22, 24, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 37, 39, 40, 41, 41]",120,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
3,0,3,30.6,"[13, 17, 19, 21, 23, 25, 27, 29, 29, 30, 31, 32, 34, 35, 37, 40, 40, 42, 43, 45]",46,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
4,0,4,32.3,"[13, 15, 17, 21, 25, 27, 29, 29, 30, 31, 32, 35, 36, 38, 38, 42, 44, 46, 48, 50]",51,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
5,1,5,30.842105263157894,"[14, 16, 20, 24, 25, 25, 26, 28, 28, 29, 30, 33, 37, 38, 39, 41, 42, 44, 47]",48,22.0,[22],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
6,1,6,29.333333333333332,"[13, 15, 19, 21, 23, 25, 29, 29, 31, 31, 32, 34, 34, 36, 36, 38, 40, 42]",120,28.0,[28],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
7,1,7,32.68421052631579,"[13, 17, 19, 21, 23, 25, 27, 28, 30, 32, 34, 39, 41, 41, 43, 43, 45, 49, 51]",52,37.0,[37],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
8,1,8,29.842105263157894,"[14, 16, 18, 20, 22, 24, 27, 28, 29, 31, 32, 33, 34, 35, 37, 38, 41, 43, 45]",46,40.0,[40],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
9,1,9,30.789473684210527,"[11, 14, 19, 22, 26, 26, 28, 29, 31, 31, 32, 34, 34, 37, 37, 42, 42, 44, 46]",47,16.0,[16],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
10,2,10,35.27777777777778,"[14, 16, 20, 22, 24, 26, 28, 30, 36, 38, 40, 43, 45, 48, 49, 50, 52, 54]",55,31.5,"[18, 45]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C1A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C1A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C1A2C8>, <src.model.entities.Exit.Exit object at 0x12C1A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C1A328>}",False,True,"[3, 4]",500,500,20
