,batch_tom,Run,Regular average,Regular times,Time steps,ToM average,ToM times,configuration,save_plots,batch_run,batch_panic,width,height,N
0,0,0,36.05,"[12, 16, 18, 20, 22, 25, 27, 29, 31, 33, 39, 41, 44, 46, 48, 50, 52, 54, 56, 58]",59,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
1,0,1,35.4,"[13, 15, 19, 22, 24, 29, 31, 33, 35, 36, 36, 38, 40, 41, 42, 44, 49, 51, 53, 57]",58,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
2,0,2,36.95,"[13, 15, 17, 19, 21, 23, 25, 27, 28, 30, 41, 43, 47, 50, 52, 54, 56, 58, 59, 61]",62,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
3,0,3,29.65,"[11, 14, 16, 19, 21, 23, 24, 26, 28, 30, 32, 32, 33, 34, 35, 39, 41, 43, 45, 47]",48,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
4,0,4,37.15,"[15, 17, 21, 24, 26, 28, 30, 32, 34, 36, 36, 38, 42, 46, 48, 50, 52, 54, 56, 58]",59,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
5,1,5,36.44444444444444,"[14, 16, 18, 20, 26, 28, 31, 33, 34, 35, 42, 46, 48, 49, 50, 52, 56, 58]",120,23.0,[23],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
6,1,6,33.411764705882355,"[13, 15, 17, 23, 25, 27, 30, 31, 32, 33, 34, 43, 45, 47, 49, 51, 53]",120,21.0,[21],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
7,1,7,40.78947368421053,"[14, 19, 21, 23, 25, 31, 33, 39, 41, 43, 45, 49, 50, 52, 54, 56, 58, 60, 62]",63,28.0,[28],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
8,1,8,37.94444444444444,"[18, 20, 22, 24, 26, 31, 33, 33, 35, 38, 42, 46, 48, 50, 52, 54, 55, 56]",120,28.0,[28],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
9,1,9,33.8421052631579,"[12, 15, 17, 19, 21, 23, 25, 27, 28, 30, 32, 34, 34, 49, 51, 53, 55, 57, 61]",62,59.0,[59],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
10,2,10,35.470588235294116,"[11, 13, 18, 22, 24, 26, 28, 31, 31, 41, 43, 48, 50, 52, 54, 55, 56]",120,32.5,"[32, 33]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
11,2,11,28.27777777777778,"[11, 13, 15, 18, 20, 22, 23, 25, 27, 30, 33, 35, 36, 37, 38, 39, 41, 46]",47,42.0,"[40, 44]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
12,2,12,32.55555555555556,"[12, 15, 17, 19, 21, 22, 24, 28, 30, 34, 38, 40, 42, 44, 48, 50, 50, 52]",53,29.0,"[26, 32]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
13,2,13,40.77777777777778,"[15, 17, 20, 27, 29, 31, 34, 36, 42, 44, 48, 50, 52, 54, 56, 58, 60, 61]",63,54.5,"[47, 62]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
14,2,14,38.833333333333336,"[18, 20, 22, 24, 26, 29, 31, 33, 34, 39, 42, 44, 48, 52, 55, 58, 61, 63]",64,31.0,"[16, 46]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
15,3,15,38.529411764705884,"[14, 16, 19, 21, 25, 33, 35, 37, 39, 39, 45, 48, 49, 55, 58, 60, 62]",63,37.666666666666664,"[12, 50, 51]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
16,3,16,43.0,"[15, 22, 29, 31, 33, 35, 40, 42, 44, 46, 48, 53, 55, 57, 58, 60, 63]",66,38.666666666666664,"[24, 27, 65]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
17,3,17,43.11764705882353,"[15, 19, 23, 25, 27, 29, 37, 43, 49, 50, 54, 56, 58, 59, 60, 63, 66]",67,28.0,"[17, 21, 46]","{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 475, 115, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x12C8A208>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A238>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A268>, <src.model.entities.Obstacle.Obstacle object at 0x12C8A298>], 'exits': [<src.model.entities.Exit.Exit object at 0x12C8A2C8>, <src.model.entities.Exit.Exit object at 0x12C8A2F8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x12C8A328>}",False,True,"[3, 4]",500,500,20
