,batch_tom,Run,Regular average,Regular times,Time steps,ToM average,ToM times,configuration,save_plots,batch_run,batch_panic,width,height,N
0,0,0,21.95,"[13, 13, 14, 15, 16, 17, 18, 18, 19, 20, 20, 21, 21, 22, 25, 28, 31, 34, 36, 38]",39,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x10f805898>, <src.model.entities.Exit.Exit object at 0x10f8058d0>, <src.model.entities.Exit.Exit object at 0x10f85ec88>, <src.model.entities.Exit.Exit object at 0x11e899e10>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x11e899e80>}",False,True,"[3, 4]",500,500,20
1,0,1,23.9,"[14, 14, 15, 16, 17, 17, 18, 19, 20, 23, 23, 23, 25, 26, 26, 30, 35, 37, 39, 41]",42,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x10f805898>, <src.model.entities.Exit.Exit object at 0x10f8058d0>, <src.model.entities.Exit.Exit object at 0x10f85ec88>, <src.model.entities.Exit.Exit object at 0x11e899e10>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x11e899e80>}",False,True,"[3, 4]",500,500,20
2,0,2,22.9,"[14, 14, 15, 16, 16, 17, 18, 18, 19, 20, 20, 22, 24, 24, 26, 28, 32, 35, 38, 42]",43,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x10f805898>, <src.model.entities.Exit.Exit object at 0x10f8058d0>, <src.model.entities.Exit.Exit object at 0x10f85ec88>, <src.model.entities.Exit.Exit object at 0x11e899e10>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x11e899e80>}",False,True,"[3, 4]",500,500,20
3,0,3,22.5,"[15, 15, 15, 17, 18, 18, 19, 20, 20, 21, 22, 22, 24, 24, 26, 28, 29, 30, 32, 35]",36,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x10f805898>, <src.model.entities.Exit.Exit object at 0x10f8058d0>, <src.model.entities.Exit.Exit object at 0x10f85ec88>, <src.model.entities.Exit.Exit object at 0x11e899e10>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x11e899e80>}",False,True,"[3, 4]",500,500,20
4,0,4,21.75,"[13, 14, 14, 15, 16, 17, 17, 18, 19, 20, 20, 21, 22, 22, 24, 29, 31, 33, 35, 35]",36,0.0,[],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x10f805898>, <src.model.entities.Exit.Exit object at 0x10f8058d0>, <src.model.entities.Exit.Exit object at 0x10f85ec88>, <src.model.entities.Exit.Exit object at 0x11e899e10>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x11e899e80>}",False,True,"[3, 4]",500,500,20
5,1,5,22.894736842105264,"[14, 15, 16, 16, 18, 18, 18, 20, 21, 22, 22, 23, 25, 29, 29, 30, 31, 33, 35]",36,20.0,[20],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x10f805898>, <src.model.entities.Exit.Exit object at 0x10f8058d0>, <src.model.entities.Exit.Exit object at 0x10f85ec88>, <src.model.entities.Exit.Exit object at 0x11e899e10>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x11e899e80>}",False,True,"[3, 4]",500,500,20
6,1,6,26.473684210526315,"[15, 16, 17, 17, 18, 19, 20, 22, 22, 22, 24, 26, 31, 34, 37, 39, 39, 41, 44]",45,43.0,[43],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x10f805898>, <src.model.entities.Exit.Exit object at 0x10f8058d0>, <src.model.entities.Exit.Exit object at 0x10f85ec88>, <src.model.entities.Exit.Exit object at 0x11e899e10>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x11e899e80>}",False,True,"[3, 4]",500,500,20
7,1,7,23.0,"[13, 14, 14, 16, 16, 18, 19, 20, 22, 22, 24, 26, 26, 28, 29, 30, 32, 32, 36]",37,33.0,[33],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x10f805898>, <src.model.entities.Exit.Exit object at 0x10f8058d0>, <src.model.entities.Exit.Exit object at 0x10f85ec88>, <src.model.entities.Exit.Exit object at 0x11e899e10>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x11e899e80>}",False,True,"[3, 4]",500,500,20
8,1,8,21.842105263157894,"[14, 14, 16, 16, 16, 18, 18, 19, 20, 20, 21, 23, 25, 26, 27, 28, 30, 31, 33]",42,41.0,[41],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x10f805898>, <src.model.entities.Exit.Exit object at 0x10f8058d0>, <src.model.entities.Exit.Exit object at 0x10f85ec88>, <src.model.entities.Exit.Exit object at 0x11e899e10>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x11e899e80>}",False,True,"[3, 4]",500,500,20
9,1,9,23.68421052631579,"[15, 15, 17, 18, 18, 20, 20, 22, 22, 23, 24, 24, 26, 28, 29, 30, 31, 33, 35]",36,25.0,[25],"{'dimensions': (500, 500), 'num_agents': 20, 'theory_of_mind': 10, 'panic_dynamic': [3, 4], 'agent_boundaries': [175, 325, 175, 325], 'obstacles': [], 'exits': [<src.model.entities.Exit.Exit object at 0x10f805898>, <src.model.entities.Exit.Exit object at 0x10f8058d0>, <src.model.entities.Exit.Exit object at 0x10f85ec88>, <src.model.entities.Exit.Exit object at 0x11e899e10>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x11e899e80>}",False,True,"[3, 4]",500,500,20
