,theory_of_mind,Run,Regular average,Regular times,Time steps,ToM average,ToM times,N,width,height,panic_dynamic,save_plots
0,0,0,19.45,"[13, 14, 14, 15, 16, 17, 17, 17, 18, 19, 20, 20, 21, 22, 23, 23, 24, 25, 25, 26]",27,0.0,[],20,500,500,"[2, 7]",False
1,0,1,20.15,"[14, 14, 16, 17, 17, 17, 18, 19, 19, 19, 20, 21, 21, 22, 23, 23, 24, 25, 26, 28]",29,0.0,[],20,500,500,"[2, 7]",False
2,0,2,20.85,"[14, 15, 15, 15, 17, 17, 19, 19, 20, 21, 21, 21, 23, 23, 24, 25, 25, 27, 27, 29]",30,0.0,[],20,500,500,"[2, 7]",False
3,0,3,20.2,"[15, 15, 15, 15, 17, 17, 17, 17, 19, 19, 19, 21, 21, 22, 23, 24, 24, 26, 28, 30]",31,0.0,[],20,500,500,"[2, 7]",False
4,0,4,18.9,"[14, 14, 14, 15, 16, 16, 17, 18, 18, 19, 19, 20, 20, 21, 21, 22, 22, 23, 24, 25]",26,0.0,[],20,500,500,"[2, 7]",False
5,1,5,20.210526315789473,"[14, 15, 15, 15, 16, 17, 17, 17, 18, 19, 19, 19, 21, 23, 25, 27, 27, 29, 31]",32,29.0,[29],20,500,500,"[2, 7]",False
6,1,6,19.157894736842106,"[14, 14, 14, 16, 16, 16, 17, 18, 18, 18, 19, 20, 20, 21, 21, 23, 25, 26, 28]",29,15.0,[15],20,500,500,"[2, 7]",False
7,1,7,18.94736842105263,"[14, 14, 14, 15, 16, 16, 17, 18, 18, 18, 19, 20, 20, 21, 21, 22, 23, 26, 28]",29,16.0,[16],20,500,500,"[2, 7]",False
8,1,8,19.263157894736842,"[14, 14, 16, 16, 16, 17, 18, 18, 19, 19, 20, 20, 21, 21, 22, 23, 23, 24, 25]",26,15.0,[15],20,500,500,"[2, 7]",False
9,1,9,19.36842105263158,"[14, 14, 15, 16, 16, 17, 18, 18, 19, 19, 20, 21, 21, 22, 23, 23, 23, 24, 25]",26,21.0,[21],20,500,500,"[2, 7]",False
10,2,10,22.666666666666668,"[13, 14, 15, 16, 17, 18, 18, 19, 21, 21, 23, 23, 25, 29, 31, 33, 35, 37]",38,20.0,"[16, 24]",20,500,500,"[2, 7]",False
11,2,11,20.72222222222222,"[14, 15, 15, 16, 17, 17, 18, 19, 19, 21, 22, 22, 24, 24, 26, 26, 28, 30]",31,18.0,"[17, 19]",20,500,500,"[2, 7]",False
12,2,12,20.61111111111111,"[14, 15, 15, 16, 17, 17, 18, 20, 21, 21, 23, 23, 23, 23, 25, 25, 27, 28]",29,23.5,"[21, 26]",20,500,500,"[2, 7]",False
13,2,13,18.88888888888889,"[13, 14, 15, 15, 15, 16, 17, 18, 18, 20, 20, 21, 21, 23, 23, 23, 23, 25]",27,22.5,"[19, 26]",20,500,500,"[2, 7]",False
14,2,14,20.833333333333332,"[14, 15, 15, 16, 17, 18, 19, 19, 21, 21, 21, 21, 23, 23, 25, 27, 29, 31]",32,21.5,"[17, 26]",20,500,500,"[2, 7]",False
15,3,15,22.235294117647058,"[14, 15, 15, 15, 16, 17, 18, 19, 19, 21, 23, 26, 26, 29, 33, 35, 37]",38,23.0,"[17, 21, 31]",20,500,500,"[2, 7]",False
16,3,16,21.294117647058822,"[14, 15, 16, 17, 18, 19, 19, 21, 21, 23, 23, 24, 25, 25, 26, 27, 29]",30,19.0,"[17, 19, 21]",20,500,500,"[2, 7]",False
