,theory_of_mind,Run,Regular average,Regular times,Time steps,ToM average,ToM times,N,width,height,panic_dynamic,save_plots
0,0,0,24.5,"[3, 6, 8, 10, 13, 14, 15, 16, 17, 19, 20, 23, 27, 35, 39, 41, 43, 45, 47, 49]",50,0.0,[],20,500,500,"[2, 7]",False
1,0,1,17.526315789473685,"[3, 10, 11, 12, 12, 14, 14, 16, 16, 18, 18, 20, 20, 22, 22, 24, 24, 26, 31]",10000,0.0,[],20,500,500,"[2, 7]",False
2,0,2,18.2,"[1, 5, 7, 11, 12, 14, 16, 16, 18, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30]",31,0.0,[],20,500,500,"[2, 7]",False
3,0,3,23.6,"[7, 10, 11, 14, 16, 18, 20, 21, 22, 23, 25, 27, 28, 29, 30, 31, 32, 34, 36, 38]",39,0.0,[],20,500,500,"[2, 7]",False
4,0,4,22.1,"[6, 9, 10, 12, 13, 17, 19, 19, 21, 21, 23, 26, 26, 28, 28, 30, 30, 32, 35, 37]",38,0.0,[],20,500,500,"[2, 7]",False
5,1,5,26.263157894736842,"[6, 10, 12, 14, 17, 18, 20, 21, 22, 23, 25, 27, 30, 31, 40, 42, 45, 47, 49]",50,44.0,[44],20,500,500,"[2, 7]",False
6,1,6,19.0,"[5, 7, 8, 10, 12, 13, 14, 15, 17, 17, 19, 21, 23, 26, 28, 30, 30, 32, 34]",35,27.0,[27],20,500,500,"[2, 7]",False
7,1,7,23.5,"[7, 12, 16, 17, 18, 20, 20, 22, 22, 24, 24, 26, 28, 29, 31, 33, 35, 39]",10000,37.0,[37],20,500,500,"[2, 7]",False
8,1,8,22.473684210526315,"[11, 11, 13, 15, 18, 18, 20, 20, 22, 22, 24, 24, 26, 26, 29, 29, 31, 33, 35]",36,13.0,[13],20,500,500,"[2, 7]",False
9,1,9,60.8421052631579,"[3, 8, 13, 16, 22, 24, 26, 49, 68, 76, 78, 87, 90, 94, 97, 99, 100, 102, 104]",105,0.0,[0],20,500,500,"[2, 7]",False
10,2,10,18.11111111111111,"[1, 5, 7, 9, 10, 12, 14, 17, 19, 21, 22, 23, 25, 26, 27, 28, 29, 31]",32,20.0,"[16, 24]",20,500,500,"[2, 7]",False
11,2,11,17.77777777777778,"[3, 5, 6, 6, 11, 13, 15, 17, 20, 20, 22, 22, 24, 24, 26, 28, 28, 30]",31,4.0,"[3, 5]",20,500,500,"[2, 7]",False
12,2,12,20.166666666666668,"[3, 9, 10, 12, 14, 15, 17, 17, 19, 19, 21, 24, 26, 27, 30, 32, 33, 35]",36,24.5,"[21, 28]",20,500,500,"[2, 7]",False
13,2,13,23.705882352941178,"[2, 6, 8, 14, 17, 19, 21, 22, 24, 26, 29, 31, 33, 35, 37, 39, 40]",10000,22.5,"[20, 25]",20,500,500,"[2, 7]",False
14,2,14,26.764705882352942,"[10, 12, 14, 18, 20, 22, 22, 25, 27, 27, 30, 33, 35, 37, 39, 41, 43]",10000,10.0,"[7, 13]",20,500,500,"[2, 7]",False
15,3,15,28.294117647058822,"[3, 6, 9, 13, 14, 21, 23, 23, 25, 33, 37, 40, 42, 45, 47, 49, 51]",52,14.666666666666666,"[7, 17, 20]",20,500,500,"[2, 7]",False
16,3,16,20.88235294117647,"[4, 10, 15, 16, 17, 18, 19, 21, 21, 23, 23, 25, 27, 27, 29, 29, 31]",10000,22.0,"[19, 25]",20,500,500,"[2, 7]",False
17,3,17,21.294117647058822,"[5, 7, 8, 10, 14, 16, 20, 23, 24, 25, 26, 27, 28, 30, 31, 33, 35]",36,16.333333333333332,"[9, 11, 29]",20,500,500,"[2, 7]",False
18,3,18,17.470588235294116,"[3, 9, 10, 11, 11, 14, 14, 16, 16, 20, 21, 22, 24, 24, 26, 27, 29]",30,13.333333333333334,"[4, 18, 18]",20,500,500,"[2, 7]",False
19,3,19,19.176470588235293,"[2, 7, 9, 10, 12, 14, 16, 19, 21, 22, 23, 24, 25, 27, 27, 33, 35]",36,25.666666666666668,"[17, 29, 31]",20,500,500,"[2, 7]",False
20,4,20,23.9375,"[15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 33, 35]",36,18.25,"[12, 14, 17, 30]",20,500,500,"[2, 7]",False
21,4,21,18.866666666666667,"[4, 5, 8, 11, 11, 13, 15, 16, 23, 26, 27, 28, 30, 32, 34]",10000,21.75,"[18, 21, 23, 25]",20,500,500,"[2, 7]",False
22,4,22,23.9375,"[9, 11, 14, 15, 16, 18, 21, 27, 28, 29, 30, 31, 32, 33, 34, 35]",38,21.0,"[2, 20, 25, 37]",20,500,500,"[2, 7]",False
23,4,23,19.0,"[3, 5, 11, 13, 15, 17, 20, 21, 22, 24, 24, 26, 26, 28, 30]",10000,12.75,"[0, 15, 17, 19]",20,500,500,"[2, 7]",False
24,4,24,19.25,"[3, 5, 11, 14, 15, 17, 17, 19, 21, 22, 24, 26, 26, 28, 30, 30]",33,24.25,"[13, 24, 28, 32]",20,500,500,"[2, 7]",False
25,5,25,19.733333333333334,"[3, 6, 13, 13, 15, 18, 18, 20, 20, 25, 26, 27, 28, 31, 33]",34,22.6,"[16, 22, 22, 24, 29]",20,500,500,"[2, 7]",False
26,5,26,21.857142857142858,"[3, 7, 15, 18, 20, 23, 23, 25, 25, 27, 27, 29, 31, 33]",10000,9.6,"[2, 3, 11, 13, 19]",20,500,500,"[2, 7]",False
27,5,27,18.533333333333335,"[4, 5, 5, 12, 15, 17, 18, 20, 21, 22, 23, 24, 28, 31, 33]",34,20.8,"[10, 16, 25, 26, 27]",20,500,500,"[2, 7]",False
28,5,28,25.266666666666666,"[3, 7, 17, 18, 19, 23, 25, 27, 27, 29, 32, 34, 36, 38, 44]",45,26.4,"[13, 13, 24, 40, 42]",20,500,500,"[2, 7]",False
29,5,29,21.066666666666666,"[6, 11, 13, 16, 17, 18, 20, 23, 24, 25, 26, 27, 28, 30, 32]",33,22.0,"[9, 19, 22, 29, 31]",20,500,500,"[2, 7]",False
30,6,30,22.928571428571427,"[11, 13, 15, 17, 19, 21, 21, 23, 24, 27, 29, 32, 33, 36]",39,23.666666666666668,"[5, 15, 19, 31, 34, 38]",20,500,500,"[2, 7]",False
31,6,31,22.571428571428573,"[2, 4, 12, 14, 17, 23, 25, 26, 28, 29, 31, 33, 35, 37]",40,19.333333333333332,"[9, 13, 17, 19, 19, 39]",20,500,500,"[2, 7]",False
32,6,32,19.071428571428573,"[6, 10, 12, 13, 17, 19, 19, 21, 21, 23, 25, 25, 27, 29]",10000,18.8,"[12, 15, 15, 23, 29]",20,500,500,"[2, 7]",False
33,6,33,16.285714285714285,"[2, 6, 8, 10, 12, 13, 16, 17, 18, 19, 22, 26, 28, 31]",32,16.166666666666668,"[2, 14, 15, 20, 22, 24]",20,500,500,"[2, 7]",False
34,6,34,22.357142857142858,"[10, 11, 11, 15, 17, 21, 23, 24, 25, 28, 29, 30, 31, 38]",41,24.333333333333332,"[5, 9, 22, 34, 36, 40]",20,500,500,"[2, 7]",False
35,7,35,17.916666666666668,"[2, 4, 9, 16, 17, 19, 20, 23, 24, 25, 26, 30]",10000,17.142857142857142,"[9, 12, 14, 14, 21, 22, 28]",20,500,500,"[2, 7]",False
36,7,36,17.0,"[3, 9, 12, 13, 14, 15, 16, 17, 19, 20, 27, 27, 29]",32,20.714285714285715,"[4, 18, 21, 23, 23, 25, 31]",20,500,500,"[2, 7]",False
37,7,37,20.923076923076923,"[4, 9, 11, 12, 16, 21, 24, 24, 26, 28, 30, 32, 35]",36,17.571428571428573,"[6, 7, 14, 15, 19, 28, 34]",20,500,500,"[2, 7]",False
38,7,38,15.384615384615385,"[0, 6, 10, 11, 12, 12, 14, 16, 20, 21, 24, 26, 28]",29,18.285714285714285,"[8, 9, 15, 19, 23, 26, 28]",20,500,500,"[2, 7]",False
39,7,39,20.53846153846154,"[5, 5, 9, 16, 18, 18, 23, 24, 25, 28, 30, 32, 34]",35,17.571428571428573,"[9, 12, 14, 20, 20, 22, 26]",20,500,500,"[2, 7]",False
40,8,40,22.454545454545453,"[10, 11, 16, 18, 24, 24, 26, 28, 28, 30, 32]",10000,17.5,"[5, 10, 12, 15, 20, 22, 26, 30]",20,500,500,"[2, 7]",False
41,8,41,19.5,"[6, 9, 11, 13, 13, 15, 24, 26, 28, 28, 30, 31]",10000,19.428571428571427,"[6, 16, 20, 22, 22, 24, 26]",20,500,500,"[2, 7]",False
42,8,42,21.5,"[9, 12, 14, 16, 18, 21, 23, 25, 27, 29, 31, 33]",10000,18.142857142857142,"[8, 12, 14, 16, 23, 25, 29]",20,500,500,"[2, 7]",False
43,8,43,19.75,"[0, 6, 12, 16, 16, 18, 20, 26, 28, 29, 32, 34]",35,17.75,"[8, 9, 14, 14, 18, 22, 27, 30]",20,500,500,"[2, 7]",False
44,8,44,22.666666666666668,"[8, 14, 16, 16, 20, 20, 22, 24, 30, 32, 34, 36]",41,22.25,"[5, 14, 18, 18, 21, 24, 38, 40]",20,500,500,"[2, 7]",False
45,9,45,17.3,"[3, 5, 9, 12, 19, 19, 24, 26, 26, 30]",10000,16.666666666666668,"[7, 10, 11, 12, 15, 21, 22, 24, 28]",20,500,500,"[2, 7]",False
46,9,46,24.272727272727273,"[14, 17, 17, 19, 22, 25, 27, 29, 31, 32, 34]",35,17.666666666666668,"[7, 11, 11, 15, 19, 21, 23, 25, 27]",20,500,500,"[2, 7]",False
47,9,47,23.22222222222222,"[3, 19, 20, 23, 25, 27, 29, 30, 33]",10000,24.555555555555557,"[10, 13, 21, 25, 27, 28, 31, 32, 34]",20,500,500,"[2, 7]",False
48,9,48,22.545454545454547,"[15, 15, 17, 17, 21, 23, 24, 26, 28, 29, 33]",34,18.666666666666668,"[6, 11, 13, 13, 20, 22, 25, 27, 31]",20,500,500,"[2, 7]",False
49,9,49,22.363636363636363,"[3, 6, 13, 17, 22, 24, 28, 29, 30, 36, 38]",39,16.88888888888889,"[3, 5, 9, 13, 16, 19, 21, 32, 34]",20,500,500,"[2, 7]",False
50,10,50,23.9,"[7, 7, 12, 12, 25, 26, 33, 37, 39, 41]",42,22.1,"[13, 15, 16, 18, 20, 22, 22, 29, 31, 35]",20,500,500,"[2, 7]",False
51,10,51,23.6,"[11, 14, 18, 20, 23, 26, 28, 30, 32, 34]",35,22.0,"[12, 13, 16, 18, 22, 24, 25, 28, 30, 32]",20,500,500,"[2, 7]",False
52,10,52,22.2,"[2, 8, 11, 14, 19, 21, 26, 35, 42, 44]",45,22.5,"[10, 11, 12, 15, 16, 21, 30, 32, 38, 40]",20,500,500,"[2, 7]",False
53,10,53,19.1,"[7, 12, 14, 16, 18, 20, 23, 25, 27, 29]",32,20.0,"[5, 6, 14, 19, 21, 23, 25, 27, 29, 31]",20,500,500,"[2, 7]",False
54,10,54,24.1,"[11, 15, 15, 18, 26, 28, 29, 30, 33, 36]",37,20.5,"[6, 13, 17, 19, 22, 22, 24, 24, 27, 31]",20,500,500,"[2, 7]",False
55,11,55,25.22222222222222,"[7, 14, 18, 26, 26, 30, 32, 36, 38]",39,19.545454545454547,"[2, 8, 9, 12, 16, 21, 22, 28, 30, 33, 34]",20,500,500,"[2, 7]",False
56,11,56,19.11111111111111,"[8, 11, 12, 13, 14, 23, 27, 30, 34]",35,18.818181818181817,"[3, 4, 6, 16, 16, 19, 21, 28, 30, 32, 32]",20,500,500,"[2, 7]",False
57,11,57,23.333333333333332,"[7, 10, 14, 18, 21, 23, 29, 43, 45]",46,25.181818181818183,"[8, 12, 16, 18, 20, 27, 28, 31, 37, 39, 41]",20,500,500,"[2, 7]",False
58,11,58,31.444444444444443,"[9, 16, 20, 23, 32, 42, 44, 48, 49]",50,21.727272727272727,"[8, 8, 11, 15, 17, 19, 22, 24, 30, 39, 46]",20,500,500,"[2, 7]",False
59,11,59,19.555555555555557,"[2, 5, 15, 18, 23, 24, 28, 30, 31]",32,17.454545454545453,"[3, 8, 9, 13, 17, 20, 21, 22, 25, 26, 28]",20,500,500,"[2, 7]",False
60,12,60,26.333333333333332,"[12, 26, 27, 28, 32, 33]",10000,23.0,"[13, 15, 18, 18, 20, 21, 23, 23, 29, 30, 31, 35]",20,500,500,"[2, 7]",False
61,12,61,14.25,"[2, 6, 11, 13, 17, 19, 20, 26]",33,15.166666666666666,"[2, 5, 6, 8, 9, 13, 15, 16, 22, 26, 28, 32]",20,500,500,"[2, 7]",False
62,12,62,23.375,"[16, 20, 20, 22, 23, 25, 27, 34]",38,21.833333333333332,"[11, 12, 14, 14, 16, 18, 18, 26, 29, 31, 36, 37]",20,500,500,"[2, 7]",False
63,12,63,21.125,"[4, 6, 20, 22, 24, 26, 30, 37]",38,25.0,"[14, 16, 18, 20, 22, 24, 26, 29, 31, 32, 33, 35]",20,500,500,"[2, 7]",False
64,12,64,19.125,"[7, 11, 11, 17, 20, 26, 28, 33]",38,19.75,"[5, 9, 10, 13, 15, 16, 18, 24, 24, 31, 35, 37]",20,500,500,"[2, 7]",False
65,13,65,18.0,"[8, 12, 14, 16, 20, 25, 31]",42,28.76923076923077,"[10, 18, 22, 25, 27, 27, 29, 31, 33, 35, 37, 39, 41]",20,500,500,"[2, 7]",False
66,13,66,27.714285714285715,"[17, 19, 23, 26, 28, 29, 52]",57,32.07692307692308,"[9, 14, 16, 20, 21, 23, 27, 34, 45, 48, 50, 54, 56]",20,500,500,"[2, 7]",False
67,13,67,20.714285714285715,"[12, 14, 18, 21, 23, 26, 31]",35,21.076923076923077,"[3, 9, 11, 16, 16, 19, 24, 25, 27, 29, 29, 32, 34]",20,500,500,"[2, 7]",False
68,13,68,16.285714285714285,"[2, 8, 14, 18, 20, 25, 27]",10000,19.916666666666668,"[3, 3, 16, 17, 19, 21, 22, 23, 25, 29, 30, 31]",20,500,500,"[2, 7]",False
69,13,69,17.142857142857142,"[4, 10, 13, 15, 22, 26, 30]",35,24.846153846153847,"[16, 17, 18, 19, 20, 23, 26, 28, 28, 30, 32, 32, 34]",20,500,500,"[2, 7]",False
