,batch_tom,Run,Regular average,Regular times,Time steps,ToM average,ToM times,configuration,save_plots,batch_run,batch_panic,width,height,N
0,0,0,27.65,"[5, 7, 7, 8, 9, 9, 11, 12, 13, 13, 13, 14, 14, 14, 16, 16, 16, 18, 18, 20, 20, 20, 21, 22, 22, 22, 23, 24, 25, 25, 26, 26, 27, 27, 29, 30, 32, 32, 34, 34, 36, 36, 38, 38, 39, 40, 40, 42, 43, 44, 44, 45, 46, 46, 48, 48, 50, 52, 54, 56]",57,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
1,0,1,27.55,"[2, 4, 4, 6, 7, 7, 7, 7, 9, 10, 11, 11, 12, 13, 14, 14, 14, 15, 16, 17, 18, 19, 20, 21, 21, 22, 22, 22, 23, 24, 24, 26, 27, 28, 30, 32, 34, 35, 36, 36, 38, 38, 40, 40, 42, 42, 43, 44, 45, 45, 45, 47, 48, 49, 50, 51, 52, 56, 58, 60]",61,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
2,0,2,26.933333333333334,"[4, 5, 5, 6, 7, 7, 7, 9, 9, 11, 12, 13, 14, 15, 15, 15, 15, 16, 17, 17, 18, 18, 19, 19, 21, 21, 22, 22, 23, 23, 23, 25, 25, 27, 27, 28, 29, 30, 31, 33, 35, 37, 38, 40, 41, 41, 42, 43, 44, 44, 45, 47, 48, 49, 50, 51, 52, 53, 56, 57]",58,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
3,0,3,25.2,"[3, 5, 6, 6, 7, 8, 8, 10, 11, 12, 13, 13, 13, 14, 14, 15, 16, 16, 17, 18, 19, 20, 21, 22, 22, 22, 22, 22, 24, 24, 25, 25, 25, 26, 26, 26, 27, 28, 28, 30, 30, 31, 33, 33, 35, 36, 37, 38, 38, 39, 41, 41, 41, 42, 43, 46, 46, 50, 51, 52]",53,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
4,0,4,29.366666666666667,"[3, 4, 5, 5, 7, 7, 9, 9, 10, 11, 12, 13, 13, 14, 16, 17, 17, 17, 19, 19, 19, 21, 22, 22, 23, 23, 25, 25, 25, 28, 30, 30, 31, 31, 32, 34, 36, 36, 38, 38, 40, 40, 41, 42, 42, 44, 45, 45, 46, 46, 47, 48, 50, 50, 52, 53, 55, 57, 60, 63]",64,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
5,1,5,26.56896551724138,"[3, 4, 5, 6, 8, 8, 10, 11, 11, 13, 14, 14, 14, 15, 16, 17, 17, 18, 19, 19, 19, 20, 21, 22, 23, 24, 24, 24, 25, 25, 25, 26, 27, 28, 30, 31, 32, 33, 33, 33, 35, 36, 37, 37, 38, 39, 40, 40, 40, 42, 44, 44, 46, 47, 49, 51, 53, 56]",120,33.0,[33],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
6,1,6,31.46551724137931,"[4, 5, 6, 6, 7, 7, 8, 10, 11, 12, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 22, 22, 23, 23, 23, 25, 26, 27, 27, 29, 30, 32, 32, 36, 36, 37, 38, 39, 40, 42, 42, 42, 42, 43, 44, 46, 46, 47, 49, 51, 62, 65, 70, 73, 77, 78, 80]",120,27.0,[27],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
7,1,7,23.655172413793103,"[2, 3, 4, 4, 5, 5, 6, 6, 8, 8, 9, 9, 10, 11, 11, 12, 12, 13, 14, 14, 14, 15, 16, 16, 16, 16, 18, 18, 19, 19, 21, 21, 22, 24, 24, 26, 26, 28, 28, 30, 32, 33, 34, 37, 40, 40, 42, 44, 44, 46, 46, 47, 48, 48, 50, 52, 52, 54]",120,50.0,[50],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
8,1,8,27.89830508474576,"[2, 3, 5, 6, 7, 7, 8, 8, 9, 9, 10, 11, 11, 12, 12, 14, 15, 16, 16, 17, 17, 18, 20, 20, 21, 22, 22, 24, 25, 26, 27, 29, 30, 32, 32, 34, 34, 35, 36, 36, 38, 40, 40, 41, 42, 44, 44, 44, 48, 48, 49, 50, 51, 51, 52, 54, 56, 57, 59]",60,22.0,[22],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
9,1,9,27.593220338983052,"[1, 3, 5, 6, 6, 8, 9, 11, 11, 12, 14, 14, 14, 15, 15, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 20, 22, 22, 23, 24, 25, 25, 26, 26, 27, 28, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 44, 44, 46, 46, 48, 50, 56, 60, 64, 67, 72]",73,16.0,[16],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x1236A358>, <src.model.entities.Obstacle.Obstacle object at 0x1236A388>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3B8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A3E8>, <src.model.entities.Obstacle.Obstacle object at 0x1236A418>, <src.model.entities.Obstacle.Obstacle object at 0x1236A448>, <src.model.entities.Obstacle.Obstacle object at 0x1236A478>], 'exits': [<src.model.entities.Exit.Exit object at 0x1236A4A8>, <src.model.entities.Exit.Exit object at 0x1236A4D8>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x1236A508>}",False,True,"[3, 4]",1000,500,60
