,batch_tom,Run,Regular average,Regular times,Time steps,ToM average,ToM times,configuration,save_plots,batch_run,batch_panic,width,height,N
0,0,0,39.78333333333333,"[5, 7, 7, 9, 10, 10, 14, 15, 16, 16, 17, 19, 20, 21, 22, 24, 26, 28, 28, 29, 31, 33, 35, 35, 37, 37, 38, 39, 39, 40, 41, 42, 43, 44, 44, 45, 46, 48, 48, 49, 50, 51, 52, 54, 54, 56, 56, 58, 60, 61, 63, 64, 66, 66, 67, 68, 69, 70, 71, 74]",75,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B908>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B940>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B978>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9B0>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9E8>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA20>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA58>], 'exits': [<src.model.entities.Exit.Exit object at 0x000001DBABD2BAC8>, <src.model.entities.Exit.Exit object at 0x000001DBABD2BB00>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x000001DBABD2BB38>}",False,True,"[3, 4]",1000,500,60
1,0,1,46.03333333333333,"[11, 11, 13, 13, 14, 16, 16, 18, 19, 20, 23, 24, 24, 26, 26, 28, 30, 31, 32, 33, 34, 35, 35, 36, 37, 39, 39, 39, 41, 43, 45, 46, 47, 48, 49, 49, 51, 51, 52, 53, 58, 60, 62, 63, 65, 65, 68, 69, 72, 74, 76, 77, 78, 79, 80, 82, 82, 83, 85, 87]",88,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B908>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B940>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B978>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9B0>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9E8>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA20>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA58>], 'exits': [<src.model.entities.Exit.Exit object at 0x000001DBABD2BAC8>, <src.model.entities.Exit.Exit object at 0x000001DBABD2BB00>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x000001DBABD2BB38>}",False,True,"[3, 4]",1000,500,60
2,0,2,45.88333333333333,"[3, 11, 12, 14, 15, 15, 17, 18, 19, 20, 24, 25, 26, 27, 28, 30, 33, 34, 36, 36, 36, 38, 39, 41, 41, 44, 44, 45, 46, 46, 48, 49, 49, 50, 52, 53, 53, 55, 56, 57, 57, 58, 58, 59, 60, 61, 62, 63, 64, 66, 68, 70, 72, 75, 76, 77, 78, 79, 81, 84]",85,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B908>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B940>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B978>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9B0>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9E8>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA20>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA58>], 'exits': [<src.model.entities.Exit.Exit object at 0x000001DBABD2BAC8>, <src.model.entities.Exit.Exit object at 0x000001DBABD2BB00>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x000001DBABD2BB38>}",False,True,"[3, 4]",1000,500,60
3,0,3,39.56666666666667,"[9, 11, 12, 13, 14, 15, 16, 17, 17, 19, 19, 22, 25, 25, 25, 27, 28, 29, 29, 31, 33, 34, 35, 35, 37, 38, 38, 39, 40, 41, 41, 42, 42, 44, 44, 45, 45, 46, 46, 48, 48, 50, 51, 52, 52, 53, 54, 56, 56, 57, 58, 58, 60, 61, 63, 64, 64, 65, 66, 70]",71,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B908>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B940>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B978>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9B0>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9E8>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA20>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA58>], 'exits': [<src.model.entities.Exit.Exit object at 0x000001DBABD2BAC8>, <src.model.entities.Exit.Exit object at 0x000001DBABD2BB00>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x000001DBABD2BB38>}",False,True,"[3, 4]",1000,500,60
4,0,4,46.05,"[4, 6, 7, 10, 11, 15, 17, 17, 18, 20, 22, 22, 23, 26, 27, 28, 31, 31, 33, 34, 35, 36, 37, 38, 39, 39, 41, 41, 41, 42, 43, 44, 45, 45, 47, 47, 47, 48, 49, 49, 50, 57, 59, 64, 66, 68, 70, 72, 76, 76, 78, 80, 81, 82, 84, 85, 86, 88, 91, 95]",96,0.0,[],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B908>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B940>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B978>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9B0>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9E8>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA20>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA58>], 'exits': [<src.model.entities.Exit.Exit object at 0x000001DBABD2BAC8>, <src.model.entities.Exit.Exit object at 0x000001DBABD2BB00>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x000001DBABD2BB38>}",False,True,"[3, 4]",1000,500,60
5,1,5,43.101694915254235,"[3, 7, 8, 9, 11, 11, 12, 14, 14, 16, 19, 23, 24, 26, 26, 26, 27, 30, 31, 32, 34, 36, 36, 38, 38, 40, 40, 40, 42, 44, 45, 47, 48, 48, 50, 50, 51, 52, 53, 54, 56, 56, 58, 60, 62, 64, 65, 66, 66, 68, 70, 70, 72, 72, 73, 75, 77, 78, 80]",81,20.0,[20],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B908>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B940>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B978>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9B0>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9E8>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA20>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA58>], 'exits': [<src.model.entities.Exit.Exit object at 0x000001DBABD2BAC8>, <src.model.entities.Exit.Exit object at 0x000001DBABD2BB00>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x000001DBABD2BB38>}",False,True,"[3, 4]",1000,500,60
6,1,6,39.101694915254235,"[5, 9, 9, 11, 11, 12, 13, 15, 15, 17, 19, 20, 21, 22, 23, 24, 25, 25, 26, 28, 29, 30, 30, 32, 32, 33, 33, 35, 36, 37, 37, 39, 40, 40, 41, 42, 42, 43, 45, 46, 47, 48, 51, 52, 53, 54, 57, 59, 65, 65, 69, 70, 72, 73, 74, 75, 75, 77, 79]",80,45.0,[45],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B908>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B940>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B978>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9B0>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9E8>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA20>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA58>], 'exits': [<src.model.entities.Exit.Exit object at 0x000001DBABD2BAC8>, <src.model.entities.Exit.Exit object at 0x000001DBABD2BB00>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x000001DBABD2BB38>}",False,True,"[3, 4]",1000,500,60
7,1,7,42.40677966101695,"[7, 9, 9, 13, 15, 16, 18, 20, 21, 21, 22, 23, 24, 24, 26, 27, 28, 30, 30, 32, 34, 34, 36, 36, 38, 38, 40, 41, 42, 42, 42, 43, 44, 44, 46, 46, 48, 49, 49, 49, 51, 51, 53, 54, 56, 58, 60, 63, 65, 67, 69, 69, 70, 71, 72, 76, 79, 81, 81]",82,51.0,[51],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B908>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B940>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B978>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9B0>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9E8>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA20>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA58>], 'exits': [<src.model.entities.Exit.Exit object at 0x000001DBABD2BAC8>, <src.model.entities.Exit.Exit object at 0x000001DBABD2BB00>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x000001DBABD2BB38>}",False,True,"[3, 4]",1000,500,60
8,1,8,42.355932203389834,"[4, 8, 10, 12, 15, 15, 16, 19, 19, 20, 21, 22, 24, 24, 25, 26, 27, 27, 30, 32, 35, 36, 37, 37, 38, 40, 41, 41, 41, 43, 44, 45, 45, 46, 48, 48, 50, 50, 52, 52, 52, 53, 54, 57, 58, 59, 59, 60, 61, 64, 66, 69, 71, 71, 73, 73, 75, 77, 82]",83,29.0,[29],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B908>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B940>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B978>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9B0>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9E8>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA20>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA58>], 'exits': [<src.model.entities.Exit.Exit object at 0x000001DBABD2BAC8>, <src.model.entities.Exit.Exit object at 0x000001DBABD2BB00>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x000001DBABD2BB38>}",False,True,"[3, 4]",1000,500,60
9,1,9,34.74576271186441,"[4, 5, 7, 7, 9, 9, 11, 14, 14, 15, 16, 19, 19, 20, 21, 22, 23, 25, 25, 26, 27, 28, 29, 29, 29, 31, 31, 33, 33, 34, 35, 35, 36, 37, 40, 41, 42, 43, 43, 45, 46, 46, 48, 48, 50, 51, 52, 53, 55, 55, 55, 57, 57, 58, 59, 59, 61, 63, 65]",66,39.0,[39],"{'dimensions': (1000, 500), 'num_agents': 60, 'theory_of_mind': 5, 'panic_dynamic': [3, 4], 'agent_boundaries': [25, 975, 25, 475], 'obstacles': [<src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B908>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B940>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B978>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9B0>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2B9E8>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA20>, <src.model.entities.Obstacle.Obstacle object at 0x000001DBABD2BA58>], 'exits': [<src.model.entities.Exit.Exit object at 0x000001DBABD2BAC8>, <src.model.entities.Exit.Exit object at 0x000001DBABD2BB00>], 'hazard': <src.model.entities.Hazard.Hazard object at 0x000001DBABD2BB38>}",False,True,"[3, 4]",1000,500,60
